time,Susceptible,Exposed,Infected,Recovered,Dead
0.0,662754,0,100,0,0
1.0,662754,0,97,3,0
2.0,662351,381,117,5,0
3.0,662131,532,174,17,0
4.0,661863,679,278,34,0
5.0,661402,995,408,49,0
6.0,660698,1497,579,80,0
7.0,659572,2282,887,113,0
8.0,657668,3651,1384,151,0
9.0,654376,6066,2188,224,0
10.0,649086,9939,3476,353,0
11.0,641569,15175,5571,539,0
12.0,630423,22820,8750,860,1
13.0,614905,33139,13496,1312,2
14.0,593176,47403,20280,1993,2
15.0,563819,66263,29655,3108,9
16.0,526441,88881,42709,4810,13
17.0,481366,114480,59773,7215,20
18.0,430406,140658,81131,10626,33
19.0,377352,163523,106518,15404,57
20.0,321603,184237,134887,22043,84
21.0,268776,198241,164997,30724,116
22.0,218617,206145,195924,42005,163
23.0,173313,207852,225415,56021,253
24.0,134524,202037,253099,72830,364
25.0,101194,192205,275857,93087,511
26.0,74074,178057,293879,116146,698
27.0,53182,160587,306080,142086,919
28.0,37281,141542,312737,170123,1171
29.0,25518,122520,312881,200477,1458
30.0,17237,104029,308080,231731,1777
31.0,11717,86860,298497,263625,2155
32.0,8159,71073,285213,295876,2533
33.0,5904,57187,269308,327500,2955
34.0,4580,45300,251133,358459,3382
35.0,3709,35549,232141,387594,3861
36.0,3157,27318,213042,415037,4300
37.0,2796,20785,193727,440748,4798
38.0,2514,15764,175081,464234,5261
39.0,2316,11745,157345,485746,5702
40.0,2169,8588,140463,505479,6155
41.0,2059,6195,125283,522776,6541
42.0,1974,4484,111114,538342,6940
43.0,1916,3189,98228,552244,7277
44.0,1872,2202,86561,564631,7588
45.0,1838,1506,76278,575389,7843
46.0,1816,1028,66812,585079,8119
47.0,1803,673,58454,593593,8331
48.0,1786,458,51058,601023,8529
49.0,1778,314,44461,607585,8716
50.0,1768,227,38528,613476,8855
51.0,1761,162,33138,618801,8992
52.0,1757,116,28441,623431,9109
53.0,1755,86,24259,627558,9196
54.0,1754,61,20702,631054,9283
55.0,1754,42,17539,634170,9349
56.0,1754,27,14832,636840,9401
57.0,1749,23,12390,639249,9443
58.0,1748,20,10244,641354,9488
59.0,1747,16,8525,643044,9522
60.0,1747,13,7030,644518,9546
61.0,1747,12,5694,645832,9569
62.0,1747,10,4588,646925,9584
63.0,1747,5,3686,647817,9599
64.0,1747,4,2938,648561,9604
65.0,1746,5,2306,649187,9610
66.0,1745,6,1796,649693,9614
67.0,1745,4,1426,650060,9619
68.0,1745,2,1083,650402,9622
69.0,1745,1,837,650647,9624
70.0,1745,1,645,650835,9628
71.0,1745,1,491,650988,9629
72.0,1745,1,377,651101,9630
73.0,1745,1,287,651191,9630
74.0,1745,0,209,651270,9630
75.0,1745,0,156,651322,9631
76.0,1745,0,115,651363,9631
77.0,1745,0,80,651398,9631
78.0,1745,0,59,651419,9631
79.0,1745,0,36,651442,9631
80.0,1745,0,28,651450,9631
81.0,1745,0,18,651460,9631
82.0,1745,0,16,651462,9631
83.0,1745,0,14,651463,9632
84.0,1745,0,9,651468,9632
85.0,1745,0,8,651469,9632
86.0,1745,0,7,651470,9632
87.0,1745,0,5,651472,9632
88.0,1745,0,2,651475,9632
89.0,1745,0,1,651476,9632
90.0,1745,0,1,651476,9632
