,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,28,0,6,19,53,64,100,115,177,276,488,911,1466,2397,3789,5909,9066,14032,20177,27336,34147,40524,44105,44798,42825,38906,33714,28277,23637,19275,15503,12539,10165,8210,6481,5301,4198,3028,2343,1602,1116,741,477,286,198,149,98,61,44,24,32,21,13,15,7,8,6,3,2,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0,4,10,15,24,27,32,75,129,241,398,616,964,1481,2264,3169,4553,5717,6760,7200,6828,6003,4728,3505,2414,1708,1185,800,538,366,286,213,148,122,100,70,62,52,39,16,12,8,8,8,5,5,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,2,2,7,6,16,30,43,72,150,277,350,581,886,1264,1770,2331,2707,3123,2938,2662,2071,1405,907,602,327,197,128,72,56,34,34,14,15,9,10,4,3,0,2,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0,1,2,11,11,10,23,46,72,109,141,232,366,596,808,1035,1384,1537,1604,1492,1254,898,683,411,233,105,61,32,27,12,7,5,5,3,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,1,8,2,6,11,10,40,47,74,123,183,229,361,507,713,834,968,968,952,741,524,349,203,105,54,34,10,12,2,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,2,2,3,4,7,11,25,29,69,72,119,174,268,345,512,584,676,692,651,594,373,226,124,57,26,9,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,1,2,3,4,4,7,21,30,35,63,91,165,207,295,374,461,514,583,524,372,270,166,85,34,16,8,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,2,3,0,6,8,7,22,30,43,60,81,105,183,228,300,360,460,415,424,324,208,116,49,23,8,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,2,5,4,8,9,17,43,57,71,112,153,202,270,317,390,366,342,229,136,78,40,22,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,2,1,2,4,4,3,8,16,30,44,50,91,130,173,232,249,262,299,265,201,105,47,19,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
